@@,itemlabel,item,startdate,enddate
+++,Ya'akov Shimshon Shapira,Q937011,1948,1950
+++,Haim Cohn,Q1058964,1950,1960
+++,Gideon Hausner,Q1391626,1960,1963
+++,Moshe Ben-Ze'ev,Q194814,1963,1968
+++,Aharon Barak,Q399963,1975,1978
+++,Yitzhak Zamir,Q2904389,1978,1986
+++,Yosef Harish,Q2902282,1986,1993
+++,Michael Ben-Yair,Q2906674,1993,1997
+++,Elyakim Rubinstein,Q746500,1997,2004
+++,Roni Bar-On,Q1361809,1997,
->,Menachem Mazuz,Q2614407,2004-01->2004,2010
->,Yehuda Weinstein,Q975721,2010-02-01->2010,2016-02-01->2016
->,Avichai Mandelblit,Q2906446,2016-02-01->2016,2022-02-01->2022
+++,Gali Baharav-Miara,Q110612168,2022,
---,Amit Aisman,Q98828634,2022-02-01,
